,ofi_multi_L3_AAPL,ofi_int_10s_AAPL
2024-10-21 12:31:14+00:00,0.0,-845.0
2024-10-21 12:31:16+00:00,10.0,-835.0
2024-10-21 12:31:18+00:00,-255.0,-1090.0
2024-10-21 12:31:20+00:00,-100.0,-1022.0
2024-10-21 12:31:22+00:00,-400.0,-745.0
2024-10-21 12:31:26+00:00,-7.0,-762.0
2024-10-21 12:31:30+00:00,5.0,-402.0
2024-10-21 12:31:32+00:00,-200.0,-202.0
2024-10-21 12:31:36+00:00,0.0,-195.0
2024-10-21 12:31:38+00:00,-400.0,-595.0
2024-10-21 12:31:40+00:00,200.0,-400.0
2024-10-21 12:31:44+00:00,-195.0,-395.0
2024-10-21 12:31:48+00:00,-15.0,-10.0
2024-10-21 12:31:50+00:00,0.0,-210.0
2024-10-21 12:31:52+00:00,200.0,-10.0
2024-10-21 12:31:54+00:00,-193.0,-8.0
2024-10-21 12:32:04+00:00,40.0,40.0
2024-10-21 12:32:06+00:00,-200.0,-160.0
2024-10-21 12:32:08+00:00,200.0,40.0
2024-10-21 12:32:10+00:00,195.0,235.0
2024-10-21 12:32:14+00:00,10.0,205.0
2024-10-21 12:32:18+00:00,-38.0,167.0
2024-10-21 12:32:20+00:00,0.0,-28.0
2024-10-21 12:32:22+00:00,0.0,-28.0
