,ofi_best_AAPL,ofi_int_10s_AAPL
2024-10-21 12:18:01+00:00,0.0,0.0
2024-10-21 12:18:02+00:00,0.0,0.0
2024-10-21 12:18:03+00:00,0.0,0.0
2024-10-21 12:18:04+00:00,0.0,0.0
2024-10-21 12:18:05+00:00,0.0,0.0
2024-10-21 12:18:08+00:00,0.0,0.0
2024-10-21 12:18:10+00:00,0.0,0.0
2024-10-21 12:18:11+00:00,0.0,0.0
2024-10-21 12:18:20+00:00,-35.0,-35.0
2024-10-21 12:18:30+00:00,200.0,200.0
2024-10-21 12:18:38+00:00,-200.0,0.0
2024-10-21 12:18:40+00:00,0.0,-200.0
2024-10-21 12:18:41+00:00,200.0,0.0
2024-10-21 12:18:44+00:00,200.0,200.0
2024-10-21 12:18:47+00:00,200.0,400.0
2024-10-21 12:18:48+00:00,0.0,600.0
2024-10-21 12:18:49+00:00,0.0,600.0
2024-10-21 12:18:51+00:00,0.0,400.0
2024-10-21 12:18:53+00:00,0.0,400.0
2024-10-21 12:19:00+00:00,-200.0,-200.0
2024-10-21 12:19:02+00:00,0.0,-200.0
2024-10-21 12:19:05+00:00,0.0,-200.0
2024-10-21 12:19:06+00:00,200.0,0.0
2024-10-21 12:19:07+00:00,0.0,0.0
2024-10-21 12:19:08+00:00,0.0,0.0
2024-10-21 12:19:10+00:00,0.0,200.0
2024-10-21 12:19:14+00:00,0.0,200.0
2024-10-21 12:19:21+00:00,0.0,0.0
2024-10-21 12:19:31+00:00,-200.0,-200.0
2024-10-21 12:19:35+00:00,0.0,-200.0
2024-10-21 12:19:38+00:00,0.0,-200.0
2024-10-21 12:19:40+00:00,0.0,-200.0
2024-10-21 12:19:42+00:00,0.0,0.0
2024-10-21 12:19:45+00:00,-200.0,-200.0
2024-10-21 12:19:57+00:00,200.0,200.0
2024-10-21 12:20:02+00:00,-200.0,0.0
2024-10-21 12:20:17+00:00,0.0,0.0
2024-10-21 12:20:18+00:00,200.0,200.0
2024-10-21 12:20:26+00:00,0.0,200.0
2024-10-21 12:20:29+00:00,5.0,5.0
2024-10-21 12:20:32+00:00,0.0,5.0
2024-10-21 12:20:33+00:00,200.0,205.0
2024-10-21 12:20:34+00:00,0.0,205.0
2024-10-21 12:20:53+00:00,750.0,750.0
2024-10-21 12:20:54+00:00,-200.0,550.0
2024-10-21 12:20:56+00:00,0.0,550.0
2024-10-21 12:21:00+00:00,0.0,550.0
2024-10-21 12:21:01+00:00,-200.0,350.0
2024-10-21 12:21:06+00:00,0.0,-200.0
2024-10-21 12:21:07+00:00,0.0,-200.0
2024-10-21 12:21:08+00:00,-650.0,-850.0
2024-10-21 12:21:09+00:00,0.0,-850.0
2024-10-21 12:21:13+00:00,0.0,-650.0
2024-10-21 12:21:16+00:00,0.0,-650.0
2024-10-21 12:21:17+00:00,0.0,-650.0
2024-10-21 12:21:18+00:00,0.0,0.0
2024-10-21 12:21:21+00:00,0.0,0.0
2024-10-21 12:21:26+00:00,0.0,0.0
2024-10-21 12:21:28+00:00,0.0,0.0
2024-10-21 12:21:29+00:00,0.0,0.0
2024-10-21 12:21:43+00:00,0.0,0.0
2024-10-21 12:21:45+00:00,0.0,0.0
2024-10-21 12:21:48+00:00,0.0,0.0
2024-10-21 12:21:49+00:00,0.0,0.0
2024-10-21 12:21:53+00:00,0.0,0.0
2024-10-21 12:22:01+00:00,0.0,0.0
2024-10-21 12:22:03+00:00,650.0,650.0
2024-10-21 12:22:09+00:00,0.0,650.0
2024-10-21 12:22:16+00:00,0.0,0.0
2024-10-21 12:22:20+00:00,0.0,0.0
2024-10-21 12:22:21+00:00,0.0,0.0
2024-10-21 12:22:22+00:00,0.0,0.0
2024-10-21 12:22:23+00:00,-52.0,-52.0
2024-10-21 12:22:26+00:00,0.0,-52.0
2024-10-21 12:22:29+00:00,0.0,-52.0
2024-10-21 12:22:36+00:00,0.0,0.0
2024-10-21 12:23:09+00:00,723.0,723.0
2024-10-21 12:23:11+00:00,-323.0,400.0
2024-10-21 12:23:12+00:00,0.0,400.0
2024-10-21 12:23:13+00:00,0.0,400.0
2024-10-21 12:23:14+00:00,0.0,400.0
2024-10-21 12:23:24+00:00,0.0,0.0
2024-10-21 12:23:25+00:00,0.0,0.0
2024-10-21 12:23:26+00:00,0.0,0.0
2024-10-21 12:23:29+00:00,0.0,0.0
2024-10-21 12:23:31+00:00,0.0,0.0
2024-10-21 12:23:33+00:00,0.0,0.0
2024-10-21 12:23:34+00:00,0.0,0.0
2024-10-21 12:23:35+00:00,-400.0,-400.0
2024-10-21 12:23:36+00:00,0.0,-400.0
2024-10-21 12:23:37+00:00,0.0,-400.0
2024-10-21 12:23:39+00:00,0.0,-400.0
2024-10-21 12:23:40+00:00,0.0,-400.0
2024-10-21 12:23:53+00:00,4.0,4.0
2024-10-21 12:23:56+00:00,-70.0,-66.0
2024-10-21 12:23:59+00:00,0.0,-66.0
2024-10-21 12:24:00+00:00,0.0,-66.0
2024-10-21 12:24:02+00:00,0.0,-66.0
2024-10-21 12:24:03+00:00,0.0,-70.0
2024-10-21 12:24:12+00:00,6.0,6.0
2024-10-21 12:24:13+00:00,0.0,6.0
2024-10-21 12:24:15+00:00,0.0,6.0
2024-10-21 12:24:17+00:00,0.0,6.0
2024-10-21 12:24:18+00:00,-200.0,-194.0
2024-10-21 12:24:25+00:00,0.0,-200.0
2024-10-21 12:24:33+00:00,0.0,0.0
2024-10-21 12:24:37+00:00,0.0,0.0
2024-10-21 12:24:40+00:00,-104.0,-104.0
2024-10-21 12:24:43+00:00,1.0,-103.0
2024-10-21 12:24:55+00:00,26.0,26.0
2024-10-21 12:24:58+00:00,-26.0,0.0
2024-10-21 12:25:00+00:00,-1.0,-1.0
2024-10-21 12:25:03+00:00,0.0,-1.0
2024-10-21 12:25:07+00:00,0.0,-27.0
2024-10-21 12:25:08+00:00,100.0,99.0
2024-10-21 12:25:09+00:00,0.0,99.0
2024-10-21 12:25:10+00:00,0.0,100.0
2024-10-21 12:25:16+00:00,0.0,100.0
2024-10-21 12:25:25+00:00,0.0,0.0
2024-10-21 12:25:26+00:00,0.0,0.0
2024-10-21 12:25:34+00:00,4.0,4.0
2024-10-21 12:25:35+00:00,-42.0,-38.0
2024-10-21 12:25:37+00:00,0.0,-38.0
2024-10-21 12:25:39+00:00,0.0,-38.0
2024-10-21 12:25:43+00:00,0.0,-38.0
2024-10-21 12:25:45+00:00,0.0,0.0
2024-10-21 12:25:52+00:00,0.0,0.0
2024-10-21 12:25:54+00:00,0.0,0.0
2024-10-21 12:26:00+00:00,0.0,0.0
2024-10-21 12:26:01+00:00,0.0,0.0
2024-10-21 12:26:02+00:00,0.0,0.0
2024-10-21 12:26:05+00:00,-79.0,-79.0
2024-10-21 12:26:08+00:00,0.0,-79.0
2024-10-21 12:26:09+00:00,0.0,-79.0
2024-10-21 12:26:11+00:00,0.0,-79.0
2024-10-21 12:26:13+00:00,0.0,-79.0
2024-10-21 12:26:20+00:00,0.0,0.0
2024-10-21 12:26:22+00:00,0.0,0.0
2024-10-21 12:26:23+00:00,0.0,0.0
2024-10-21 12:26:24+00:00,0.0,0.0
